Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Linkedin Ireland Limited,Sales & Marketing,"$55,573",Recruitment and talent acquisition services,Optimize
Kimble Applications Ltd,G&A,"$52,825",Business services provider,Optimize
Sage Uk Limited,Finance & Accounting,"$46,895",Accounting and financial management software,Optimize
Grant Thornton,Finance & Accounting,"$46,539","Audit, tax, and advisory services",Optimize
"SveuäIliå¡Te U Zagrebu, Studentski Centar",G&A,"$44,299","SveuäIliå¡Te U Zagrebu, Studentski Centar services and solutions",Optimize
Ss&C Intralinks Inc,G&A,"$39,966",Financial software and services provider,Optimize
Veniture D.O.O.,G&A,"$39,342",Local service provider,Optimize
Accutrainee Limited,HR & Recruitment,"$38,841",Technical recruitment and staffing services,Optimize
Mason Frank International Ltd,HR & Recruitment,"$38,148",Recruitment and staffing services,Optimize
"Houlihan Lokey Advisors, Llc",Sales & Marketing,"$37,461",Legal and corporate advisory services,Optimize
Vector Capital Management Lp,Consulting & Advisory,"$32,427",Corporate financial advisory services,Optimize
Hubspot Ireland Limited,Sales & Marketing,"$32,187",CRM and marketing automation platform,Optimize
Nefron - Obrt Za Poslovne Usluge,G&A,"$30,614",Local service provider,Optimize
"Planful, Inc.",Finance & Accounting,"$27,741",Corporate performance management and budgeting software,Optimize
Cognism Limited,Sales & Marketing,"$27,013",Sales intelligence and lead database,Optimize
Uberflip,Travel & Transportation,"$26,091",Ride-sharing and logistics services,Optimize
Agram Life Osiguranje D.O.O.,G&A,"$24,952",Local service provider,Optimize
Google Ireland Limited,G&A,"$24,798","Cloud services, analytics, and digital tools provider",Optimize
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,G&A,"$24,135",Local service provider,Optimize
Care Health Insurance Company Limited,Insurance,"$24,045",Insurance and employee benefits provider,Consolidate
New Star Networks(Nsn),G&A,"$23,887",New Star Networks(Nsn) services and solutions,Optimize
Bupa- Supplier,Insurance,"$22,800",Health and employee benefits insurance,Optimize
Shree Info System Solutions Pvt Ltd,HR & Recruitment,"$22,275",Business services provider,Optimize
Technet It Recruitment,Engineering,"$21,952",Recruitment and talent acquisition services,Optimize
Mightyhive Ltd,Sales & Marketing,"$19,042",Digital advertising management,Optimize
Cedar Recruitment Ltd,HR & Recruitment,"$18,537",Recruitment and talent acquisition services,Optimize
Eurofast International Ltd-Greec,Consulting & Advisory,"$18,164",Audit and financial advisory services,Optimize
Hrvatski Telekom D.D.,HR & Recruitment,"$18,084",Mobile telecommunications services,Optimize
Sodexo Svc India Private Limited,G&A,"$17,810",Catering and hospitality management services,Optimize
Peakon Aps,HR & Recruitment,"$17,108",Employee engagement and survey platform,Optimize
Plus Your Business Ltd,G&A,"$17,074",Business services provider,Optimize
Benefit Systems D.O.O.,HR & Recruitment,"$16,900",Employee benefits consulting and administration,Optimize
Smart Group Services D.O.O.,G&A,"$16,438",Local service provider,Optimize
Jones Lang Lasalle (Nsw) Pty Ltd,Real Estate & Facilities,"$16,274",Commercial real estate advisory services,Optimize
"Workato, Inc.",Engineering,"$16,101",Payroll processing and tax services,Optimize
Konzum Plus D.O.O.,G&A,"$15,684",Local service provider,Optimize
Westbrook Advisers,Sales & Marketing,"$15,360",Investment and advisory services,Optimize
Work Easy Space Solutions Private Limited,Real Estate & Facilities,"$14,913",Office real estate and property services,Optimize
"Taxstudio, Ltd.",Finance & Accounting,"$14,642",Business services provider,Optimize
Pingo D.O.O.,G&A,"$14,508",Local service provider,Optimize
Magazin Raunalni Sistemi D.O.O.,G&A,"$13,870",Local service provider,Optimize
Tp Prime D.O.O.,G&A,"$13,785",Local service provider,Optimize
Granttree Limited,G&A,"$13,659",Granttree Limited services and solutions,Optimize
Cigna Sg,Insurance,"$13,249",Health and employee benefits insurance,Optimize
Collards Chartered Accountants,Finance & Accounting,"$12,879",Accounting and financial services,Optimize
Bupa Australia,Insurance,"$12,463",Health and employee benefits insurance,Optimize
4I Management Consulting Private Limited,Consulting & Advisory,"$12,117",Management consulting and advisory services,Optimize
"Grad Zagreb, Gradski Ured Za Prostorno Ureä'Enje,..",Sales & Marketing,"$11,637","Grad Zagreb, Gradski Ured Za Prostorno Ureä'Enje,.. services and solutions",Optimize
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,G&A,"$11,605",Local service provider,Optimize
Ramiro D.O.O.,G&A,"$11,516",Local service provider,Optimize
Visalogic Limited,G&A,"$11,241",Visalogic Limited services and solutions,Optimize
Poles Ltd - Hanbury Manor,G&A,"$10,488",Business services provider,Optimize
Shoff Darby Companies,G&A,"$10,100",Shoff Darby Companies services and solutions,Optimize
Emerge Development Consultancy Ltd,Engineering,"$10,046",Business services provider,Optimize
Performancepro,G&A,"$10,018",Performancepro provider,Optimize
Microsoft Ireland Operations Limited,IT Support & Infrastructure,"$9,822",Enterprise software and cloud services provider,Optimize
Catering Muring,G&A,"$9,603",Catering and food services,Optimize
Omonia D.O.O.,G&A,"$9,559",Local service provider,Optimize
Outreach Corporation,Sales & Marketing,"$9,206",Sales engagement and automation platform,Optimize
Cbre Limited,Real Estate & Facilities,"$8,395",Commercial real estate services and property management,Optimize
Studentski Centar - Split,G&A,"$8,269",Studentski Centar - Split services and solutions,Optimize
The Guardian,Communications,"$8,070",Media and news publishing,Optimize
Intertrust Singapore Corporate Services Pte Ltd - Csc,IT Support & Infrastructure,"$7,360",Corporate IT infrastructure services,Optimize
Goto Technologies Uk Limited,G&A,"$7,316",Goto Technologies Uk Limited services and solutions,Optimize
Hrsolution International Ag,HR & Recruitment,"$6,987",Hrsolution International Ag services and solutions,Optimize
Trello,G&A,"$6,674",Project management and team collaboration,Optimize
Obrt Sjaj Sunca,G&A,"$6,596",Local service provider,Optimize
Telefã³Nica Compras Electrã³Nicas S.L.,G&A,"$6,157",Telefã³Nica Compras Electrã³Nicas S.L. services and solutions,Optimize
Allianz Australia Workers' Compensation (Victoria) Limited,HR & Recruitment,"$6,099",Health and employee benefits insurance,Optimize
Icici Lombard Gic Ltd,Insurance,"$5,972",Business services provider,Optimize
Mosaic Concept D.O.O.,G&A,"$5,731",Local service provider,Optimize
Limes Plus D.O.O.,G&A,"$5,624",Local service provider,Optimize
Mercer Limited,Finance & Accounting,"$5,444",Employee benefits consulting and administration,Optimize
Acclime Corporate Services,IT Support & Infrastructure,"$5,413",Acclime Corporate Services services and solutions,Optimize
Green Commute Initiative,G&A,"$5,402",Green Commute Initiative services and solutions,Optimize
Tattu Manchester Limited,G&A,"$5,366",Tattu Manchester Limited services and solutions,Optimize
Athlete Service Ltd,G&A,"$5,285",Business services provider,Optimize
Amazon Web Services Inc.,Engineering,"$5,153",Cloud infrastructure and compute services provider,Optimize
Telemach Hrvatska D.O.O.,HR & Recruitment,"$5,134",Mobile telecommunications services,Optimize
"Acclime Usa, Inc",IT Support & Infrastructure,"$4,995",Business services provider,Optimize
Centar Za Sigurnost D.O.O.,G&A,"$4,991",Local service provider,Optimize
Profi Bar D.O.O.,G&A,"$4,917",Local service provider,Optimize
Pricewaterhousecoopers Llp,Finance & Accounting,"$4,879","Audit, tax, and advisory services",Optimize
Pinnacle Partnership Ca,G&A,"$4,836",Accommodation and hospitality services,Optimize
The Virtual Legal Counsel Ltd,Legal & Compliance,"$4,800",Legal consulting and corporate law services,Optimize
Australian Payroll Professionals Pty Ltd,Finance & Accounting,"$4,399",Payroll processing and tax services,Optimize
Inter Continental Chennai Mahabalipuram Resort,Travel & Transportation,"$4,393",Accommodation and hospitality services,Optimize
Jetbrains S.R.O.,Engineering,"$4,083",Developer IDE and programming tools,Optimize
Crowe Horwath Revizija D.O.O.,Consulting & Advisory,"$4,062","Audit, tax, and advisory services",Optimize
Puducherry Backwater Resort Private Limited,Travel & Transportation,"$4,056",Accommodation and hospitality services,Optimize
Orionw Llc,G&A,"$4,025",Business services provider,Optimize
Adobe Systems Software,Engineering,"$3,929",Employee benefits consulting and administration,Optimize
"Common Desk, Llc",G&A,"$3,842",Business services provider,Optimize
Hep Elektra D.O.O.,G&A,"$3,735",Local service provider,Optimize
Zivi Napitak D.O.O.,G&A,"$3,700",Local service provider,Optimize
Gym4You D.O.O.,G&A,"$3,692",Health and wellness services,Optimize
Aha! Labs Inc,G&A,"$3,689",Product roadmap and release planning,Optimize
Apple Retail Uk Ltd,IT Support & Infrastructure,"$3,548",Business services provider,Optimize
"Kryterion, Inc.",G&A,"$3,541",Business services provider,Optimize
Npm Inc,Engineering,"$3,535",Software development and code management,Optimize
Pinsent Masons Mpillay Llp,Legal & Compliance,"$4,078",International law firm and legal advisory,Optimize
Calm Achiever(A Unit Of Mohsin Ali Vakil),G&A,"$4,071",Calm Achiever(A Unit Of Mohsin Ali Vakil) services and solutions,Optimize
Pluxee India Private Limited,G&A,"$3,994",Pluxee India Private Limited services and solutions,Optimize
Oâ€™Donnell Salzano Lawyers,Legal & Compliance,"$3,955",Legal consulting and corporate law services,Optimize
Papertrail Inc,Engineering,"$3,900",Business services provider,Optimize
Sniper Systems And Solutions Private Limited,G&A,"$3,899",Employee benefits consulting and administration,Optimize
Trocadero (London) Hotel Ltd,Sales & Marketing,"$3,868",Accommodation and hospitality services,Consolidate
Semrush Inc,Sales & Marketing,"$3,730",SEO and digital marketing analytics,Optimize
Golubica Parking D.O.O.,G&A,"$3,726",Local service provider,Optimize
Vodafone (Australian),IT Support & Infrastructure,"$3,672",Mobile telecommunications services,Optimize
Ikea Hrvatska D.O.O.,HR & Recruitment,"$3,610",Local service provider,Optimize
Orcola D.O.O.,G&A,"$3,545",Local service provider,Optimize
Info Edge India Limited,G&A,"$3,536",Info Edge India Limited services and solutions,Optimize
Grad Split,Sales & Marketing,"$3,483",Grad Split services and solutions,Optimize
T-Mobile,IT Support & Infrastructure,"$3,357",Mobile telecommunications services,Optimize
Akton D.O.O.,G&A,"$3,254",Local service provider,Optimize
Bureau Veritas Croatia D.O.O.,G&A,"$3,200",Local service provider,Optimize
Cici Prudential Life Insurance Co. Ltd.,Insurance,"$3,195",Insurance and employee benefits provider,Consolidate
Ncc Services Limited,G&A,"$3,036",Ncc Services Limited services and solutions,Optimize
Smartsheet Inc.,G&A,"$2,995",Work execution and project planning,Optimize
Good Game Global D.O.O.,G&A,"$2,954",Local service provider,Optimize
Garaå¾A Firule D.O.O.,G&A,"$2,930",Local service provider,Optimize
Crossland,G&A,"$2,924",Crossland provider,Optimize
It London,IT Support & Infrastructure,"$2,838",It London services and solutions,Optimize
Terrapinn Holdings Ltd,G&A,"$2,838",Accommodation and hospitality services,Optimize
Elemental Life Solutions Llp,G&A,"$2,807",Legal advisory and corporate law services,Optimize
United Flow Ltd (The Goodness Project),G&A,"$2,744",Business services provider,Optimize
Mcburneys Charted Accountants,G&A,"$2,711",Accounting and financial services,Optimize
Cleverland Winery Resort,Travel & Transportation,"$2,663",Accommodation and hospitality services,Optimize
Ag Grid Ltd,G&A,"$2,653",Data grid component library,Optimize
Lusha,G&A,"$2,606",B2B sales intelligence platform,Optimize
My Foodiverse Llp,G&A,"$2,489",Catering and food services,Optimize
4Imprint Direct Ltd,G&A,"$2,436",Business services provider,Optimize
City Pantry Ltd,G&A,"$2,419",Business services provider,Optimize
Stipe Piric,G&A,"$2,302",Stipe Piric services and solutions,Optimize
Office Move London,Real Estate & Facilities,"$2,293",Office supplies and equipment,Optimize
Pink Ribbon Shop,G&A,"$2,251",Pink Ribbon Shop services and solutions,Optimize
Starhub Ltd (Supplier),G&A,"$2,205",Business services provider,Optimize
N S Shastri And Co,G&A,"$2,194",N S Shastri And Co services and solutions,Optimize
John Smith,G&A,"$2,163",John Smith services and solutions,Terminate
Fabiola Thistlewhaite,G&A,"$2,154",Fabiola Thistlewhaite services and solutions,Optimize
Hp Inc Uk Limited,IT Support & Infrastructure,"$2,136",Business services provider,Optimize
Cision Pr Newswire,Communications,"$2,110",Public relations and media monitoring,Optimize
George Anchor,G&A,"$2,107",George Anchor services and solutions,Optimize
"Yoxel, Inc",G&A,"$2,044",Business services provider,Optimize
Grt Hotels And Resorts P Ltd,Travel & Transportation,"$2,032",Accommodation and hospitality services,Consolidate
Apple Pty Ltd,IT Support & Infrastructure,"$2,031",Business services provider,Optimize
Slack Technologies Limited,Engineering,"$1,989",Team messaging and collaboration platform,Optimize
G S Notary Public Limited,G&A,"$1,935",G S Notary Public Limited services and solutions,Optimize
Apple Distribution International Ltd,IT Support & Infrastructure,"$1,913",Business services provider,Optimize
Porezno Savjetniå¡Tvo Tuk D.O.O.,G&A,"$1,813",Local service provider,Optimize
Susan Lee,G&A,"$1,762",Susan Lee services and solutions,Terminate
Ansar Madovic,Sales & Marketing,"$1,732",Ansar Madovic services and solutions,Optimize
"Radius Group, Inc",Sales & Marketing,"$1,723",Business services provider,Optimize
Aquila Remete D.O.O.,G&A,"$1,706",Local service provider,Optimize
Clime India Private Limited,G&A,"$1,678",Clime India Private Limited services and solutions,Optimize
"Golden Mean, Inc",G&A,"$1,659",Business services provider,Optimize
Paint & Fun Vl. Martina Milkova Nikolova,G&A,"$1,654",Paint & Fun Vl. Martina Milkova Nikolova services and solutions,Optimize
Carrington Communications,Communications,"$1,654",Carrington Communications services and solutions,Optimize
Crayond Digital Private Limited,Engineering,"$1,646",Crayond Digital Private Limited services and solutions,Optimize
Studentski Centar Karlovac,G&A,"$1,549",Studentski Centar Karlovac services and solutions,Optimize
Lajnap Comedy Booking D.O.O.,G&A,"$1,536",Local service provider,Optimize
British Telecommunications,IT Support & Infrastructure,"$1,493",British Telecommunications services and solutions,Optimize
Etm Concessions Ltd,G&A,"$1,419",Business services provider,Optimize
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,Sales & Marketing,"$1,406",Accommodation and hospitality services,Consolidate
Ariba Inc,Finance & Accounting,"$1,363",Procurement and ERP financial systems,Optimize
Chamiers Recreation Club,G&A,"$1,338",Chamiers Recreation Club services and solutions,Terminate
Quadrant Law Llc,Sales & Marketing,"$1,327",Business law and legal advisory,Optimize
Docusign,G&A,"$1,308",Digital signature and document management,Optimize
Inside Edge Novated Leasing,G&A,"$1,287",Developer IDE and programming tools,Optimize
Rhea D.O.O.,G&A,"$1,253",Local service provider,Optimize
P S Recreation Club,G&A,"$1,219",P S Recreation Club services and solutions,Terminate
Fastspring,G&A,"$1,179",Fastspring provider,Optimize
Dsv Solutions A/S,Travel & Transportation,"$1,162",Dsv Solutions A/S services and solutions,Optimize
Curzon Green Solicitors,Legal & Compliance,"$1,158",Legal advisory and solicitor services,Optimize
Icare Nsw,G&A,"$1,150",Workers compensation insurance,Optimize
Thomas Mansfield Solicitors Limited,Legal & Compliance,"$1,135",Legal consulting and corporate law services,Optimize
Amazon.Co.Uk,G&A,"$1,107",Cloud infrastructure and compute services provider,Optimize
Backoffice Associates,Real Estate & Facilities,"$1,080",Office supplies and equipment,Optimize
Oladi D.O.O.,Sales & Marketing,"$1,064",Local service provider,Optimize
Integrated Personnel Services,HR & Recruitment,"$1,054",Integrated Personnel Services services and solutions,Optimize
Mãœller Trgovina Zagreb D.O.O.,G&A,"$1,051",Local service provider,Optimize
Lunch Nutrition D.O.O.,G&A,"$1,012",Local service provider,Optimize
Winmaxi Tours & Travels,Travel & Transportation,"$1,001",Winmaxi Tours & Travels services and solutions,Optimize
Digitalna Produkcija J.D.O.O.,Engineering,$993,Local service provider,Terminate
Computershare-Caboodle Technology Limited,IT Support & Infrastructure,$981,Computershare-Caboodle Technology Limited services and solutions,Terminate
Allianz Wa,Insurance,$971,Health and employee benefits insurance,Terminate
Trending Technology Services Gmbh,G&A,$961,Trending Technology Services Gmbh services and solutions,Terminate
"Godaddy.Com, Llc",Sales & Marketing,$923,Domain registration and web hosting,Terminate
Time Out Group,G&A,$920,Time Out Group services and solutions,Terminate
Raiffeisenbank Austria D.D.,G&A,$920,Raiffeisenbank Austria D.D. services and solutions,Terminate
Galop-Prijevoz D.O.O.,G&A,$908,Local service provider,Terminate
Lane Ip Limited,G&A,$851,Lane Ip Limited services and solutions,Terminate
Urbani Eventi D.O.O.,G&A,$851,Local service provider,Terminate
Smashing Media Ag,Communications,$850,Media and news publishing,Terminate
Epignosis Llc,G&A,$833,Business services provider,Terminate
Croatia Airlines,Travel & Transportation,$832,Air transportation services,Terminate
Bb Football Scouting J.D.O.O.,G&A,$823,Local service provider,Terminate
Boe Croatia D.O.O.,G&A,$814,Local service provider,Terminate
Potomac D.O.O.,G&A,$806,Local service provider,Terminate
"President Hotel And Tower Co., Ltd",Travel & Transportation,$803,Accommodation and hospitality services,Terminate
Friends Sports Club,G&A,$797,Friends Sports Club services and solutions,Terminate
The Cycle Gap Adyar,Sales & Marketing,$765,The Cycle Gap Adyar services and solutions,Terminate
Apple - Amer,IT Support & Infrastructure,$764,Apple - Amer services and solutions,Terminate
Klg - Kalra Legal Group,Legal & Compliance,$681,Legal consulting and corporate law services,Terminate
Kilgannon & Partners Llp,G&A,$681,Legal advisory and corporate law services,Terminate
Uk Postbox Limited,G&A,$670,Mailbox and office services,Terminate
Catering Iviä‡ D.O.O.,G&A,$669,Catering and food services,Terminate
Blink Events,G&A,$664,Blink Events services and solutions,Terminate
Grafo-Jan,G&A,$662,Grafo-Jan provider,Terminate
Mesa Verde,G&A,$662,Mesa Verde services and solutions,Terminate
Pixsy Inc,G&A,$613,Business services provider,Terminate
Dun & Bradstreet D.O.O.,Sales & Marketing,$610,Business credit and data analytics,Terminate
Induslaw,Legal & Compliance,$596,Legal consulting and corporate law services,Terminate
Trans-Agram Obrt Za Dostavu,G&A,$581,Local service provider,Terminate
Landu Law Solicitors,Legal & Compliance,$568,Legal consulting and corporate law services,Terminate
Arena Center Zagreb D.O.O.,G&A,$567,Local service provider,Terminate
Obrt Za Ugostiteljstvo Mirakul,G&A,$565,Local service provider,Terminate
Oakberry Jr D.O.O.,G&A,$535,Local service provider,Terminate
Tau On-Line D.O.O.,G&A,$534,Local service provider,Terminate
Magic Mountain Saloon,G&A,$524,Magic Mountain Saloon services and solutions,Terminate
Hotel Zonar,Travel & Transportation,$523,Accommodation and hospitality services,Terminate
Roto Dinamic D.O.O.,G&A,$512,Local service provider,Terminate
Tm Forum,G&A,$510,Tm Forum services and solutions,Terminate
Marvie Hotel - Krupa D.O.O.,Travel & Transportation,$502,Accommodation and hospitality services,Terminate
Merchandise Ltd,G&A,$490,Business services provider,Terminate
Yellow Submarine D.O.O.,G&A,$486,Local service provider,Terminate
Streamlinereforms Inc,G&A,$483,Business services provider,Terminate
Make And Grow Ltd,G&A,$483,Business services provider,Terminate
Obiteljski Hoteli D.O.O.,Travel & Transportation,$474,Accommodation and hospitality services,Terminate
Rudan D.O.O.,G&A,$473,Local service provider,Terminate
Entrio Tehnologije D.O.O.,G&A,$473,Local service provider,Terminate
Vivat Fina Vina D.O.O.,G&A,$467,Local service provider,Terminate
"Figma, Inc.",Engineering,$460,Design and collaboration platform,Terminate
E-Disti D.O.O.,G&A,$458,Local service provider,Terminate
Greencell Express Private Limited,Communications,$457,Media and news publishing,Terminate
Edwardian Pastoria Hotels Ltd (The Londoner),Travel & Transportation,$433,Accommodation and hospitality services,Terminate
Tiganda J.D.O.O.,G&A,$432,Local service provider,Terminate
"Franklin, Gringer & Cohen, P.C.",G&A,$427,"Franklin, Gringer & Cohen, P.C. services and solutions",Terminate
Blitz - Cinestar D.O.O.,G&A,$426,Local service provider,Terminate
Lancefield Bus Service,G&A,$412,Lancefield Bus Service services and solutions,Terminate
Super Odrediå¡Te D.O.O.,G&A,$378,Local service provider,Terminate
Pmi Global Operations Center,G&A,$378,Pmi Global Operations Center services and solutions,Terminate
Student Packers & Movers,G&A,$371,Student Packers & Movers services and solutions,Terminate
Del Posto D.O.O.,G&A,$364,Local service provider,Terminate
Inicijativa Centar Za Edukaciju,G&A,$358,Inicijativa Centar Za Edukaciju services and solutions,Terminate
Niva Transport J.D.O.O.,G&A,$358,Local service provider,Terminate
Doctor Anywhere Operations Pte Ltd,G&A,$347,Business services provider,Terminate
Spar Hrvatska D.O.O.,HR & Recruitment,$341,Local service provider,Terminate
Pepe'S Italian And Liquor,G&A,$339,Pepe'S Italian And Liquor services and solutions,Terminate
"Pluralsight, Llc",HR & Recruitment,$318,Employee training and development platform,Terminate
Maniax Melbourne Cbd,Sales & Marketing,$315,Maniax Melbourne Cbd services and solutions,Terminate
Dnsimple,Engineering,$312,Domain and DNS management services,Terminate
Treci Posao D.O.O.,G&A,$307,Local service provider,Terminate
Gaucho Restaurants,G&A,$302,Catering and food services,Terminate
Formswift,G&A,$301,Formswift provider,Terminate
Safestore Ltd,Real Estate & Facilities,$287,Business services provider,Terminate
Split Tech City,G&A,$284,Split Tech City services and solutions,Terminate
National Securities Depository Limited(Nsdl),Finance & Accounting,$281,National Securities Depository Limited(Nsdl) services and solutions,Terminate
Adamma Info Services Private Limited,Sales & Marketing,$273,Adamma Info Services Private Limited services and solutions,Terminate
The Riding House Cafe,G&A,$265,Catering and food services,Terminate
Stillmark Zagreb D.O.O.,G&A,$263,Local service provider,Terminate
Lastpass Ireland Limited,Engineering,$263,Password management and cybersecurity,Terminate
Taste Of Health,G&A,$259,Taste Of Health services and solutions,Terminate
Infodata,G&A,$241,Information management and services,Terminate
Amazon (Aus),G&A,$233,Cloud infrastructure and compute services provider,Terminate
Regency Hampers Ltd,G&A,$248,Business services provider,Terminate
Bella Operation A/S,G&A,$241,Bella Operation A/S services and solutions,Terminate
The Plant Man,G&A,$235,The Plant Man services and solutions,Terminate
Media Promo Plus D.O.O.,Communications,$226,Media and news publishing,Terminate
Expert-Ing D.O.O.,G&A,$225,Local service provider,Terminate
Atlassian Pty Ltd,Engineering,$224,Software development and team tools,Terminate
Djs For U,G&A,$220,Djs For U services and solutions,Terminate
Freepik Company,G&A,$203,Freepik Company services and solutions,Terminate
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,G&A,$199,Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar services and solutions,Terminate
Rishi Events And Entainment,G&A,$198,Rishi Events And Entainment services and solutions,Terminate
Kosmaz Technologies Croatia,G&A,$195,Kosmaz Technologies Croatia services and solutions,Terminate
Dhl,Travel & Transportation,$191,Shipping and parcel delivery services,Terminate
Hotel Laguna D.D.,Travel & Transportation,$190,Accommodation and hospitality services,Terminate
Bigshare Services Private Limited,G&A,$188,Bigshare Services Private Limited services and solutions,Terminate
Zettanet,Engineering,$183,Zettanet provider,Terminate
Hahn Air,G&A,$183,Hahn Air services and solutions,Terminate
Vitality Works,G&A,$182,Vitality Works services and solutions,Terminate
Avoxi Inc,G&A,$178,Business services provider,Terminate
Zapier Inc.,Engineering,$167,Workflow automation and integration platform,Terminate
"Solarwinds, Inc",Engineering,$166,Business services provider,Terminate
Xenon Savjetovanje D.O.O.,G&A,$164,Local service provider,Terminate
Floom Ltd,G&A,$162,Business services provider,Terminate
Notino S.R.O.,G&A,$161,Notino S.R.O. services and solutions,Terminate
"Paint&Wine, Vl. Stevo Dosen",G&A,$159,"Paint&Wine, Vl. Stevo Dosen services and solutions",Terminate
Parcelforce Worldwide,Travel & Transportation,$155,Shipping and parcel delivery services,Terminate
Advena,Sales & Marketing,$154,Advena provider,Terminate
Hrvatski Nezavisnici Izvoznici Softvera,HR & Recruitment,$154,Hrvatski Nezavisnici Izvoznici Softvera services and solutions,Terminate
Monile J.D.O.O.,G&A,$152,Local service provider,Terminate
Puzzle Promotion J.D.O.O.,G&A,$143,Local service provider,Terminate
ZagrebaäKi Holding D.O.O.,G&A,$143,Local service provider,Terminate
Event Ors,G&A,$143,Event Ors services and solutions,Terminate
Sportkart D.O.O.,G&A,$141,Local service provider,Terminate
"Interaction Design Foundation, Inc",G&A,$138,Business services provider,Terminate
(Blank),G&A,$137,(Blank) provider,Terminate
Escape Art D.O.O.,G&A,$133,Local service provider,Terminate
Fero-Term,G&A,$131,Fero-Term provider,Terminate
Ustanova Za Zdravstvenu Skrb P.P.,G&A,$131,Ustanova Za Zdravstvenu Skrb P.P. services and solutions,Terminate
Vistaprint,G&A,$130,Vistaprint provider,Terminate
Teb Poslovno Savjetovanje D.O.O.,G&A,$129,Local service provider,Terminate
Illunis D.O.O.,G&A,$128,Local service provider,Terminate
The Cook Kitchen,G&A,$123,Catering and food services,Terminate
Australian Taxation Office (Ato),Finance & Accounting,$123,Payroll processing and tax services,Terminate
Capitol Services,G&A,$120,Capitol Services services and solutions,Terminate
Bonus Opinio D.O.O.,G&A,$120,Local service provider,Terminate
Dhl Express (Uk) Ltd,Travel & Transportation,$119,Shipping and parcel delivery services,Terminate
Kat'S Kitchen D.O.O.,G&A,$119,Catering and food services,Terminate
Soho Kitchen Ltd,G&A,$104,Catering and food services,Terminate
Fortis Trade J.D.O.O.,Sales & Marketing,$95,Local service provider,Terminate
Till Trade D.O.O.,Sales & Marketing,$93,Local service provider,Terminate
Pret A Manger,G&A,$92,Catering and food services,Terminate
Axil Coffee Roasters,G&A,$89,Axil Coffee Roasters services and solutions,Terminate
Pepco Croatia D.O.O.,G&A,$89,Local service provider,Terminate
Lemia D.O.O.,G&A,$88,Local service provider,Terminate
Retriever Llc,G&A,$88,Business services provider,Terminate
Meluba Limited,G&A,$88,Meluba Limited services and solutions,Terminate
London Waste Management,G&A,$86,London Waste Management services and solutions,Terminate
Hilton Garden Inn - Zagreb City Hotels D.O.O.,Travel & Transportation,$82,Accommodation and hospitality services,Terminate
Lider Media D.O.O.,Communications,$80,Developer IDE and programming tools,Terminate
Uptime Robot Service Provider Ltd,Engineering,$78,Developer IDE and programming tools,Terminate
