Vendor Name,Department,Cost,Description,Recommendation
"Navan, Inc",Travel & Transportation,"$57,929",Corporate travel and expense management platform,Optimize
Tmforum,G&A,"$57,560",Tmforum provides specialized services and solutions,Optimize
Linkedin Ireland Limited,Sales & Marketing,"$55,573",Professional networking and recruitment platform,Optimize
Kimble Applications Ltd,G&A,"$52,825",Professional services automation (PSA) software,Optimize
Sage Uk Limited,Finance & Accounting,"$46,895",Accounting and business management software,Optimize
Grant Thornton,Finance & Accounting,"$46,539","Audit, tax, and advisory services firm",Optimize
"SveuäIliå¡Te U Zagrebu, Studentski Centar",G&A,"$44,299","SveuäIliå¡Te U Zagrebu, Studentski Centar provides specialized services and solutions",Optimize
Ss&C Intralinks Inc,G&A,"$39,966",Ss&C Intralinks provides specialized services and solutions,Optimize
Veniture D.O.O.,G&A,"$39,342",Veniture D.O.O. provides specialized services and solutions,Optimize
Accutrainee Limited,HR & Recruitment,"$38,841",Accutrainee Limited provides specialized services and solutions,Optimize
Mason Frank International Ltd,HR & Recruitment,"$38,148",Mason Frank International provides specialized services and solutions,Optimize
"Houlihan Lokey Advisors, Llc",Sales & Marketing,"$37,461","Houlihan Lokey Advisors, Llc provides specialized services and solutions",Optimize
Vector Capital Management Lp,Consulting & Advisory,"$32,427",Vector Capital Management Lp provides specialized services and solutions,Optimize
Hubspot Ireland Limited,Sales & Marketing,"$32,187",CRM and marketing automation platform,Optimize
Nefron - Obrt Za Poslovne Usluge,G&A,"$30,614",Nefron - Obrt Za Poslovne Usluge provides specialized services and solutions,Optimize
"Planful, Inc.",Finance & Accounting,"$27,741",Corporate performance management and budgeting software,Optimize
Cognism Limited,Sales & Marketing,"$27,013",B2B data and sales intelligence platform,Optimize
Uberflip,Travel & Transportation,"$26,091",Content marketing and experience platform,Optimize
Agram Life Osiguranje D.O.O.,G&A,"$24,952",Agram Life Osiguranje D.O.O. provides specialized services and solutions,Optimize
Google Ireland Limited,G&A,"$24,798","Cloud services, analytics, and digital tools provider",Optimize
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,G&A,"$24,135",Zuric I Partneri Odvjetnicko Drustvo D.O.O. provides specialized services and solutions,Optimize
Care Health Insurance Company Limited,Insurance,"$24,045",Care Health Insurance Company Limited provides specialized services and solutions,Consolidate
New Star Networks(Nsn),G&A,"$23,887",New Star Networks(Nsn) provides specialized services and solutions,Optimize
Bupa- Supplier,Insurance,"$22,800",Bupa- Supplier provides specialized services and solutions,Optimize
Shree Info System Solutions Pvt Ltd,HR & Recruitment,"$22,275",Shree Info System Solutions Pvt provides specialized services and solutions,Optimize
Technet It Recruitment,Engineering,"$21,952",Technet It Recruitment provides specialized services and solutions,Optimize
Mightyhive Ltd,Sales & Marketing,"$19,042",Mightyhive provides specialized services and solutions,Optimize
Cedar Recruitment Ltd,HR & Recruitment,"$18,537",Cedar Recruitment provides specialized services and solutions,Optimize
Eurofast International Ltd-Greec,Consulting & Advisory,"$18,164",Eurofast International-Greec provides specialized services and solutions,Optimize
Hrvatski Telekom D.D.,HR & Recruitment,"$18,084",Telecommunications and internet service provider,Optimize
Sodexo Svc India Private Limited,G&A,"$17,810",Sodexo Svc India Private Limited provides specialized services and solutions,Optimize
Peakon Aps,HR & Recruitment,"$17,108",Employee engagement and survey platform,Optimize
Plus Your Business Ltd,G&A,"$17,074",Plus Your Business provides specialized services and solutions,Optimize
Benefit Systems D.O.O.,HR & Recruitment,"$16,900",Benefit Systems D.O.O. provides specialized services and solutions,Optimize
Smart Group Services D.O.O.,G&A,"$16,438",Smart Group Services D.O.O. provides specialized services and solutions,Optimize
Jones Lang Lasalle (Nsw) Pty Ltd,Real Estate & Facilities,"$16,274",Real estate advisory and property management firm,Optimize
"Workato, Inc.",Engineering,"$16,101",Workflow automation and integration platform,Optimize
Konzum Plus D.O.O.,G&A,"$15,684",Konzum Plus D.O.O. provides specialized services and solutions,Optimize
Westbrook Advisers,Sales & Marketing,"$15,360",Westbrook Advisers provides specialized services and solutions,Optimize
Work Easy Space Solutions Private Limited,Real Estate & Facilities,"$14,913",Work Easy Space Solutions Private Limited provides specialized services and solutions,Optimize
"Taxstudio, Ltd.",Finance & Accounting,"$14,642","Taxstudio,. provides specialized services and solutions",Optimize
Pingo D.O.O.,G&A,"$14,508",Pingo D.O.O. provides specialized services and solutions,Optimize
Magazin Raunalni Sistemi D.O.O.,G&A,"$13,870",Magazin Raunalni Sistemi D.O.O. provides specialized services and solutions,Optimize
Tp Prime D.O.O.,G&A,"$13,785",Tp Prime D.O.O. provides specialized services and solutions,Optimize
Granttree Limited,G&A,"$13,659",Granttree Limited provides specialized services and solutions,Optimize
Cigna Sg,Insurance,"$13,249",Cigna Sg provides specialized services and solutions,Optimize
Collards Chartered Accountants,Finance & Accounting,"$12,879",Collards Chartered Accountants provides specialized services and solutions,Optimize
Bupa Australia,Insurance,"$12,463",Bupa Australia provides specialized services and solutions,Optimize
4I Management Consulting Private Limited,Consulting & Advisory,"$12,117",4I Management Consulting Private Limited provides specialized services and solutions,Optimize
"Grad Zagreb, Gradski Ured Za Prostorno Ureä'Enje,..",Sales & Marketing,"$11,637","Grad Zagreb, Gradski Ured Za Prostorno Ureä'Enje,.. provides specialized services and solutions",Optimize
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,G&A,"$11,605",Bijeli Pijesak Obrt Za Poslovno Savjetovanje provides specialized services and solutions,Optimize
Ramiro D.O.O.,G&A,"$11,516",Ramiro D.O.O. provides specialized services and solutions,Optimize
Visalogic Limited,G&A,"$11,241",Visalogic Limited provides specialized services and solutions,Optimize
Poles Ltd - Hanbury Manor,G&A,"$10,488",Poles - Hanbury Manor provides specialized services and solutions,Optimize
Shoff Darby Companies,G&A,"$10,100",Shoff Darby Companies provides specialized services and solutions,Optimize
Emerge Development Consultancy Ltd,Engineering,"$10,046",Emerge Development Consultancy provides specialized services and solutions,Optimize
Performancepro,G&A,"$10,018",Performancepro provides specialized services and solutions,Optimize
Microsoft Ireland Operations Limited,IT Support & Infrastructure,"$9,822","Software, cloud, and productivity tools provider",Optimize
Catering Muring,G&A,"$9,603",Catering Muring provides specialized services and solutions,Optimize
Omonia D.O.O.,G&A,"$9,559",Omonia D.O.O. provides specialized services and solutions,Optimize
Outreach Corporation,Sales & Marketing,"$9,206",Sales engagement and automation platform,Optimize
Cbre Limited,Real Estate & Facilities,"$8,395",Commercial real estate services and property management,Optimize
Studentski Centar - Split,G&A,"$8,269",Studentski Centar - Split provides specialized services and solutions,Optimize
The Guardian,Communications,"$8,070",The Guardian provides specialized services and solutions,Optimize
Intertrust Singapore Corporate Services Pte Ltd - Csc,IT Support & Infrastructure,"$7,360",Intertrust Singapore Corporate Services Pte - Csc provides specialized services and solutions,Optimize
Goto Technologies Uk Limited,G&A,"$7,316",Goto Technologies Uk Limited provides specialized services and solutions,Optimize
Hrsolution International Ag,HR & Recruitment,"$6,987",Hrsolution International Ag provides specialized services and solutions,Optimize
Trello,G&A,"$6,674",Team collaboration and project management tool,Optimize
Obrt Sjaj Sunca,G&A,"$6,596",Obrt Sjaj Sunca provides specialized services and solutions,Optimize
Telefã³Nica Compras Electrã³Nicas S.L.,G&A,"$6,157",Telefã³Nica Compras Electrã³Nicas S.L. provides specialized services and solutions,Optimize
Allianz Australia Workers' Compensation (Victoria) Limited,HR & Recruitment,"$6,099",Allianz Australia Workers' Compensation (Victoria) Limited provides specialized services and solutions,Optimize
Icici Lombard Gic Ltd,Insurance,"$5,972",Icici Lombard Gic provides specialized services and solutions,Optimize
Mosaic Concept D.O.O.,G&A,"$5,731",Mosaic Concept D.O.O. provides specialized services and solutions,Optimize
Limes Plus D.O.O.,G&A,"$5,624",Limes Plus D.O.O. provides specialized services and solutions,Optimize
Mercer Limited,Finance & Accounting,"$5,444",Mercer Limited provides specialized services and solutions,Optimize
Acclime Corporate Services,IT Support & Infrastructure,"$5,413",Acclime Corporate Services provides specialized services and solutions,Optimize
Green Commute Initiative,G&A,"$5,402",Green Commute Initiative provides specialized services and solutions,Optimize
Tattu Manchester Limited,G&A,"$5,366",Tattu Manchester Limited provides specialized services and solutions,Optimize
Athlete Service Ltd,G&A,"$5,285",Athlete Service provides specialized services and solutions,Optimize
Amazon Web Services Inc.,Engineering,"$5,153",Amazon Web Services. provides specialized services and solutions,Optimize
Telemach Hrvatska D.O.O.,HR & Recruitment,"$5,134",Telecommunications provider,Optimize
"Acclime Usa, Inc",IT Support & Infrastructure,"$4,995","Acclime Usa, provides specialized services and solutions",Optimize
Centar Za Sigurnost D.O.O.,G&A,"$4,991",Centar Za Sigurnost D.O.O. provides specialized services and solutions,Optimize
Profi Bar D.O.O.,G&A,"$4,917",Profi Bar D.O.O. provides specialized services and solutions,Optimize
Pricewaterhousecoopers Llp,Finance & Accounting,"$4,879","Accounting, tax, and advisory services firm",Optimize
Pinnacle Partnership Ca,G&A,"$4,836",Pinnacle Partnership Ca provides specialized services and solutions,Optimize
The Virtual Legal Counsel Ltd,Legal & Compliance,"$4,800",The Virtual Legal Counsel provides specialized services and solutions,Optimize
Australian Payroll Professionals Pty Ltd,Finance & Accounting,"$4,399",Australian Payroll Professionals Pty provides specialized services and solutions,Optimize
Inter Continental Chennai Mahabalipuram Resort,Travel & Transportation,"$4,393",Inter Continental Chennai Mahabalipuram Resort provides specialized services and solutions,Optimize
Jetbrains S.R.O.,Engineering,"$4,083",IDE and developer tools for software development,Optimize
Crowe Horwath Revizija D.O.O.,Consulting & Advisory,"$4,062",Crowe Horwath Revizija D.O.O. provides specialized services and solutions,Optimize
Puducherry Backwater Resort Private Limited,Travel & Transportation,"$4,056",Puducherry Backwater Resort Private Limited provides specialized services and solutions,Optimize
Orionw Llc,G&A,"$4,025",Orionw Llc provides specialized services and solutions,Optimize
Adobe Systems Software,Engineering,"$3,929",Creative software and digital marketing suite,Optimize
"Common Desk, Llc",G&A,"$3,842","Common Desk, Llc provides specialized services and solutions",Optimize
Hep Elektra D.O.O.,G&A,"$3,735",Hep Elektra D.O.O. provides specialized services and solutions,Optimize
Zivi Napitak D.O.O.,G&A,"$3,700",Zivi Napitak D.O.O. provides specialized services and solutions,Optimize
Gym4You D.O.O.,G&A,"$3,692",Gym4You D.O.O. provides specialized services and solutions,Optimize
Aha! Labs Inc,G&A,"$3,689",Product roadmap and release planning platform,Optimize
Apple Retail Uk Ltd,IT Support & Infrastructure,"$3,548",Apple Retail Uk provides specialized services and solutions,Optimize
"Kryterion, Inc.",G&A,"$3,541","Kryterion,. provides specialized services and solutions",Optimize
Npm Inc,Engineering,"$3,535",JavaScript package management platform,Optimize
Pinsent Masons Mpillay Llp,Legal & Compliance,"$4,078",International law firm providing legal services,Optimize
Calm Achiever(A Unit Of Mohsin Ali Vakil),G&A,"$4,071",Calm Achiever(A Unit Of Mohsin Ali Vakil) provides specialized services and solutions,Optimize
Pluxee India Private Limited,G&A,"$3,994",Pluxee India Private Limited provides specialized services and solutions,Optimize
Oâ€™Donnell Salzano Lawyers,Legal & Compliance,"$3,955",Oâ€™Donnell Salzano Lawyers provides specialized services and solutions,Optimize
Papertrail Inc,Engineering,"$3,900",Papertrail provides specialized services and solutions,Optimize
Sniper Systems And Solutions Private Limited,G&A,"$3,899",Sniper Systems And Solutions Private Limited provides specialized services and solutions,Optimize
Trocadero (London) Hotel Ltd,Sales & Marketing,"$3,868",Trocadero (London) Hotel provides specialized services and solutions,Consolidate
Semrush Inc,Sales & Marketing,"$3,730",Digital marketing and SEO analytics platform,Optimize
Golubica Parking D.O.O.,G&A,"$3,726",Golubica Parking D.O.O. provides specialized services and solutions,Optimize
Vodafone (Australian),IT Support & Infrastructure,"$3,672",Telecommunications and mobile services provider,Optimize
Ikea Hrvatska D.O.O.,HR & Recruitment,"$3,610",Ikea Hrvatska D.O.O. provides specialized services and solutions,Optimize
Orcola D.O.O.,G&A,"$3,545",Orcola D.O.O. provides specialized services and solutions,Optimize
Info Edge India Limited,G&A,"$3,536",Info Edge India Limited provides specialized services and solutions,Optimize
Grad Split,Sales & Marketing,"$3,483",Grad Split provides specialized services and solutions,Optimize
T-Mobile,IT Support & Infrastructure,"$3,357",Mobile telecommunications and wireless services,Optimize
Akton D.O.O.,G&A,"$3,254",Akton D.O.O. provides specialized services and solutions,Optimize
Bureau Veritas Croatia D.O.O.,G&A,"$3,200",Bureau Veritas Croatia D.O.O. provides specialized services and solutions,Optimize
Cici Prudential Life Insurance Co. Ltd.,Insurance,"$3,195",Cici Prudential Life Insurance Co.. provides specialized services and solutions,Consolidate
Ncc Services Limited,G&A,"$3,036",Ncc Services Limited provides specialized services and solutions,Optimize
Smartsheet Inc.,G&A,"$2,995",Work execution platform for project management,Optimize
Good Game Global D.O.O.,G&A,"$2,954",Good Game Global D.O.O. provides specialized services and solutions,Optimize
Garaå¾A Firule D.O.O.,G&A,"$2,930",Garaå¾A Firule D.O.O. provides specialized services and solutions,Optimize
Crossland,G&A,"$2,924",Crossland provides specialized services and solutions,Optimize
It London,IT Support & Infrastructure,"$2,838",It London provides specialized services and solutions,Optimize
Terrapinn Holdings Ltd,G&A,"$2,838",Terrapinn Holdings provides specialized services and solutions,Optimize
Elemental Life Solutions Llp,G&A,"$2,807",Elemental Life Solutions provides specialized services and solutions,Optimize
United Flow Ltd (The Goodness Project),G&A,"$2,744",United Flow (The Goodness Project) provides specialized services and solutions,Optimize
Mcburneys Charted Accountants,G&A,"$2,711",Mcburneys Charted Accountants provides specialized services and solutions,Optimize
Cleverland Winery Resort,Travel & Transportation,"$2,663",Cleverland Winery Resort provides specialized services and solutions,Optimize
Ag Grid Ltd,G&A,"$2,653",Advanced data grid component library,Optimize
Lusha,G&A,"$2,606",Lusha provides specialized services and solutions,Optimize
My Foodiverse Llp,G&A,"$2,489",My Foodiverse provides specialized services and solutions,Optimize
4Imprint Direct Ltd,G&A,"$2,436",4Imprint Direct provides specialized services and solutions,Optimize
City Pantry Ltd,G&A,"$2,419",City Pantry provides specialized services and solutions,Optimize
Stipe Piric,G&A,"$2,302",Stipe Piric provides specialized services and solutions,Optimize
Office Move London,Real Estate & Facilities,"$2,293",Office Move London provides specialized services and solutions,Optimize
Pink Ribbon Shop,G&A,"$2,251",Pink Ribbon Shop provides specialized services and solutions,Optimize
Starhub Ltd (Supplier),G&A,"$2,205",Starhub (Supplier) provides specialized services and solutions,Optimize
N S Shastri And Co,G&A,"$2,194",N S Shastri And Co provides specialized services and solutions,Optimize
John Smith,G&A,"$2,163",John Smith provides specialized services and solutions,Terminate
Fabiola Thistlewhaite,G&A,"$2,154",Fabiola Thistlewhaite provides specialized services and solutions,Optimize
Hp Inc Uk Limited,IT Support & Infrastructure,"$2,136",Hp Uk Limited provides specialized services and solutions,Optimize
Cision Pr Newswire,Communications,"$2,110",Cision Pr Newswire provides specialized services and solutions,Optimize
George Anchor,G&A,"$2,107",George Anchor provides specialized services and solutions,Optimize
"Yoxel, Inc",G&A,"$2,044","Yoxel, provides specialized services and solutions",Optimize
Grt Hotels And Resorts P Ltd,Travel & Transportation,"$2,032",Grt Hotels And Resorts P provides specialized services and solutions,Consolidate
Apple Pty Ltd,IT Support & Infrastructure,"$2,031",Apple Pty provides specialized services and solutions,Optimize
Slack Technologies Limited,Engineering,"$1,989",Team communication and collaboration platform,Optimize
G S Notary Public Limited,G&A,"$1,935",G S Notary Public Limited provides specialized services and solutions,Optimize
Apple Distribution International Ltd,IT Support & Infrastructure,"$1,913",Apple Distribution International provides specialized services and solutions,Optimize
Porezno Savjetniå¡Tvo Tuk D.O.O.,G&A,"$1,813",Porezno Savjetniå¡Tvo Tuk D.O.O. provides specialized services and solutions,Optimize
Susan Lee,G&A,"$1,762",Susan Lee provides specialized services and solutions,Terminate
Ansar Madovic,Sales & Marketing,"$1,732",Ansar Madovic provides specialized services and solutions,Optimize
"Radius Group, Inc",Sales & Marketing,"$1,723","Radius Group, provides specialized services and solutions",Optimize
Aquila Remete D.O.O.,G&A,"$1,706",Aquila Remete D.O.O. provides specialized services and solutions,Optimize
Clime India Private Limited,G&A,"$1,678",Clime India Private Limited provides specialized services and solutions,Optimize
"Golden Mean, Inc",G&A,"$1,659","Golden Mean, provides specialized services and solutions",Optimize
Paint & Fun Vl. Martina Milkova Nikolova,G&A,"$1,654",Paint & Fun Vl. Martina Milkova Nikolova provides specialized services and solutions,Optimize
Carrington Communications,Communications,"$1,654",Carrington Communications provides specialized services and solutions,Optimize
Crayond Digital Private Limited,Engineering,"$1,646",Crayond Digital Private Limited provides specialized services and solutions,Optimize
Studentski Centar Karlovac,G&A,"$1,549",Studentski Centar Karlovac provides specialized services and solutions,Optimize
Lajnap Comedy Booking D.O.O.,G&A,"$1,536",Lajnap Comedy Booking D.O.O. provides specialized services and solutions,Optimize
British Telecommunications,IT Support & Infrastructure,"$1,493",Telecommunications and internet services,Optimize
Etm Concessions Ltd,G&A,"$1,419",Etm Concessions provides specialized services and solutions,Optimize
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,Sales & Marketing,"$1,406",Radisson Grt - Unit Of Hotels & Resorts Pvt provides specialized services and solutions,Consolidate
Ariba Inc,Finance & Accounting,"$1,363",Ariba provides specialized services and solutions,Optimize
Chamiers Recreation Club,G&A,"$1,338",Chamiers Recreation Club provides specialized services and solutions,Terminate
Quadrant Law Llc,Sales & Marketing,"$1,327",Legal services and business law firm,Optimize
Docusign,G&A,"$1,308",Digital signature and contract management platform,Optimize
Inside Edge Novated Leasing,G&A,"$1,287",Inside Edge Novated Leasing provides specialized services and solutions,Optimize
Rhea D.O.O.,G&A,"$1,253",Rhea D.O.O. provides specialized services and solutions,Optimize
P S Recreation Club,G&A,"$1,219",P S Recreation Club provides specialized services and solutions,Terminate
Fastspring,G&A,"$1,179",Fastspring provides specialized services and solutions,Optimize
Dsv Solutions A/S,Travel & Transportation,"$1,162",Dsv Solutions A/S provides specialized services and solutions,Optimize
Curzon Green Solicitors,Legal & Compliance,"$1,158",Legal services and corporate solicitor firm,Optimize
Icare Nsw,G&A,"$1,150",Icare Nsw provides specialized services and solutions,Optimize
Thomas Mansfield Solicitors Limited,Legal & Compliance,"$1,135",Thomas Mansfield Solicitors Limited provides specialized services and solutions,Optimize
Amazon.Co.Uk,G&A,"$1,107",Amazon.Co.Uk provides specialized services and solutions,Optimize
Backoffice Associates,Real Estate & Facilities,"$1,080",Backoffice Associates provides specialized services and solutions,Optimize
Oladi D.O.O.,Sales & Marketing,"$1,064",Oladi D.O.O. provides specialized services and solutions,Optimize
Integrated Personnel Services,HR & Recruitment,"$1,054",Integrated Personnel Services provides specialized services and solutions,Optimize
Mãœller Trgovina Zagreb D.O.O.,G&A,"$1,051",Mãœller Trgovina Zagreb D.O.O. provides specialized services and solutions,Optimize
Lunch Nutrition D.O.O.,G&A,"$1,012",Lunch Nutrition D.O.O. provides specialized services and solutions,Optimize
Winmaxi Tours & Travels,Travel & Transportation,"$1,001",Winmaxi Tours & Travels provides specialized services and solutions,Optimize
Digitalna Produkcija J.D.O.O.,Engineering,$993,Digitalna Produkcija J.D.O.O. provides specialized services and solutions,Terminate
Computershare-Caboodle Technology Limited,IT Support & Infrastructure,$981,Computershare-Caboodle Technology Limited provides specialized services and solutions,Terminate
Allianz Wa,Insurance,$971,Allianz Wa provides specialized services and solutions,Terminate
Trending Technology Services Gmbh,G&A,$961,Trending Technology Services Gmbh provides specialized services and solutions,Terminate
"Godaddy.Com, Llc",Sales & Marketing,$923,"Godaddy.Com, Llc provides specialized services and solutions",Terminate
Time Out Group,G&A,$920,Time Out Group provides specialized services and solutions,Terminate
Raiffeisenbank Austria D.D.,G&A,$920,Raiffeisenbank Austria D.D. provides specialized services and solutions,Terminate
Galop-Prijevoz D.O.O.,G&A,$908,Galop-Prijevoz D.O.O. provides specialized services and solutions,Terminate
Lane Ip Limited,G&A,$851,Lane Ip Limited provides specialized services and solutions,Terminate
Urbani Eventi D.O.O.,G&A,$851,Urbani Eventi D.O.O. provides specialized services and solutions,Terminate
Smashing Media Ag,Communications,$850,Smashing Media Ag provides specialized services and solutions,Terminate
Epignosis Llc,G&A,$833,Epignosis Llc provides specialized services and solutions,Terminate
Croatia Airlines,Travel & Transportation,$832,Croatia Airlines provides specialized services and solutions,Terminate
Bb Football Scouting J.D.O.O.,G&A,$823,Bb Football Scouting J.D.O.O. provides specialized services and solutions,Terminate
Boe Croatia D.O.O.,G&A,$814,Boe Croatia D.O.O. provides specialized services and solutions,Terminate
Potomac D.O.O.,G&A,$806,Potomac D.O.O. provides specialized services and solutions,Terminate
"President Hotel And Tower Co., Ltd",Travel & Transportation,$803,"President Hotel And Tower Co., provides specialized services and solutions",Terminate
Friends Sports Club,G&A,$797,Friends Sports Club provides specialized services and solutions,Terminate
The Cycle Gap Adyar,Sales & Marketing,$765,The Cycle Gap Adyar provides specialized services and solutions,Terminate
Apple - Amer,IT Support & Infrastructure,$764,Apple - Amer provides specialized services and solutions,Terminate
Klg - Kalra Legal Group,Legal & Compliance,$681,Klg - Kalra Legal Group provides specialized services and solutions,Terminate
Kilgannon & Partners Llp,G&A,$681,Kilgannon & Partners provides specialized services and solutions,Terminate
Uk Postbox Limited,G&A,$670,Uk Postbox Limited provides specialized services and solutions,Terminate
Catering Iviä‡ D.O.O.,G&A,$669,Catering Iviä‡ D.O.O. provides specialized services and solutions,Terminate
Blink Events,G&A,$664,Blink Events provides specialized services and solutions,Terminate
Grafo-Jan,G&A,$662,Grafo-Jan provides specialized services and solutions,Terminate
Mesa Verde,G&A,$662,Mesa Verde provides specialized services and solutions,Terminate
Pixsy Inc,G&A,$613,Pixsy provides specialized services and solutions,Terminate
Dun & Bradstreet D.O.O.,Sales & Marketing,$610,Dun & Bradstreet D.O.O. provides specialized services and solutions,Terminate
Induslaw,Legal & Compliance,$596,Induslaw provides specialized services and solutions,Terminate
Trans-Agram Obrt Za Dostavu,G&A,$581,Trans-Agram Obrt Za Dostavu provides specialized services and solutions,Terminate
Landu Law Solicitors,Legal & Compliance,$568,Landu Law Solicitors provides specialized services and solutions,Terminate
Arena Center Zagreb D.O.O.,G&A,$567,Arena Center Zagreb D.O.O. provides specialized services and solutions,Terminate
Obrt Za Ugostiteljstvo Mirakul,G&A,$565,Obrt Za Ugostiteljstvo Mirakul provides specialized services and solutions,Terminate
Oakberry Jr D.O.O.,G&A,$535,Oakberry Jr D.O.O. provides specialized services and solutions,Terminate
Tau On-Line D.O.O.,G&A,$534,Tau On-Line D.O.O. provides specialized services and solutions,Terminate
Magic Mountain Saloon,G&A,$524,Magic Mountain Saloon provides specialized services and solutions,Terminate
Hotel Zonar,Travel & Transportation,$523,Hotel Zonar provides specialized services and solutions,Terminate
Roto Dinamic D.O.O.,G&A,$512,Roto Dinamic D.O.O. provides specialized services and solutions,Terminate
Tm Forum,G&A,$510,Tm Forum provides specialized services and solutions,Terminate
Marvie Hotel - Krupa D.O.O.,Travel & Transportation,$502,Marvie Hotel - Krupa D.O.O. provides specialized services and solutions,Terminate
Merchandise Ltd,G&A,$490,Merchandise provides specialized services and solutions,Terminate
Yellow Submarine D.O.O.,G&A,$486,Yellow Submarine D.O.O. provides specialized services and solutions,Terminate
Streamlinereforms Inc,G&A,$483,Streamlinereforms provides specialized services and solutions,Terminate
Make And Grow Ltd,G&A,$483,Make And Grow provides specialized services and solutions,Terminate
Obiteljski Hoteli D.O.O.,Travel & Transportation,$474,Obiteljski Hoteli D.O.O. provides specialized services and solutions,Terminate
Rudan D.O.O.,G&A,$473,Rudan D.O.O. provides specialized services and solutions,Terminate
Entrio Tehnologije D.O.O.,G&A,$473,Entrio Tehnologije D.O.O. provides specialized services and solutions,Terminate
Vivat Fina Vina D.O.O.,G&A,$467,Vivat Fina Vina D.O.O. provides specialized services and solutions,Terminate
"Figma, Inc.",Engineering,$460,Design and prototyping collaboration platform,Terminate
E-Disti D.O.O.,G&A,$458,E-Disti D.O.O. provides specialized services and solutions,Terminate
Greencell Express Private Limited,Communications,$457,Greencell Express Private Limited provides specialized services and solutions,Terminate
Edwardian Pastoria Hotels Ltd (The Londoner),Travel & Transportation,$433,Edwardian Pastoria Hotels (The Londoner) provides specialized services and solutions,Terminate
Tiganda J.D.O.O.,G&A,$432,Tiganda J.D.O.O. provides specialized services and solutions,Terminate
"Franklin, Gringer & Cohen, P.C.",G&A,$427,"Franklin, Gringer & Cohen, P.C. provides specialized services and solutions",Terminate
Blitz - Cinestar D.O.O.,G&A,$426,Blitz - Cinestar D.O.O. provides specialized services and solutions,Terminate
Lancefield Bus Service,G&A,$412,Lancefield Bus Service provides specialized services and solutions,Terminate
Super Odrediå¡Te D.O.O.,G&A,$378,Super Odrediå¡Te D.O.O. provides specialized services and solutions,Terminate
Pmi Global Operations Center,G&A,$378,Pmi Global Operations Center provides specialized services and solutions,Terminate
Student Packers & Movers,G&A,$371,Student Packers & Movers provides specialized services and solutions,Terminate
Del Posto D.O.O.,G&A,$364,Del Posto D.O.O. provides specialized services and solutions,Terminate
Inicijativa Centar Za Edukaciju,G&A,$358,Inicijativa Centar Za Edukaciju provides specialized services and solutions,Terminate
Niva Transport J.D.O.O.,G&A,$358,Niva Transport J.D.O.O. provides specialized services and solutions,Terminate
Doctor Anywhere Operations Pte Ltd,G&A,$347,Doctor Anywhere Operations Pte provides specialized services and solutions,Terminate
Spar Hrvatska D.O.O.,HR & Recruitment,$341,Spar Hrvatska D.O.O. provides specialized services and solutions,Terminate
Pepe'S Italian And Liquor,G&A,$339,Pepe'S Italian And Liquor provides specialized services and solutions,Terminate
"Pluralsight, Llc",HR & Recruitment,$318,"Pluralsight, Llc provides specialized services and solutions",Terminate
